stage	d	q	p	q_fixed	actual_sparsity	metric	score
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_arc_challenge	0.3050
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_rte	0.5750
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_openbookqa	0.2600
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_winogrande	0.6200
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_boolq	0.5650
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_hellaswag	0.3950
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_averaged	0.4533
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_ASR_basic	0.1100
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_ASR_gcg	0.4100
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_emergent_alignment	38.0000
stage1	0.07	0.03	0.07	0.03	0.050474	stage1_emergent_coherence	33.5000
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_arc_challenge	0.2550
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_rte	0.5400
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_openbookqa	0.2350
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_winogrande	0.5900
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_boolq	0.5600
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_hellaswag	0.3050
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_averaged	0.4142
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_ASR_basic	0.7200
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_ASR_gcg	0.4200
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_emergent_alignment	7.5000
stage2	0.07	0.03	0.07	0.03	0.059104	stage2_emergent_coherence	7.0000
